Freq,Real,Imag,|Z|/Ohm,Phase(Z)/deg,Re(Y)/Ohm-1,Im(Y)/Ohm-1,|Y|/Ohm-1,Phase(Y)/deg
7.00E+06,4.80E+01,7.32E+00,4.86E+01,8.66E+00,2.04E-02,-3.10E-03,2.06E-02,-8.66E+00
6.23E+06,4.89E+01,6.70E+00,4.94E+01,7.79E+00,2.01E-02,-2.74E-03,2.02E-02,-7.79E+00
5.55E+06,4.96E+01,6.01E+00,5.00E+01,6.90E+00,1.99E-02,-2.41E-03,2.00E-02,-6.90E+00
4.94E+06,4.99E+01,5.32E+00,5.02E+01,6.08E+00,1.98E-02,-2.11E-03,1.99E-02,-6.08E+00
4.40E+06,5.01E+01,4.37E+00,5.03E+01,4.98E+00,1.98E-02,-1.73E-03,1.99E-02,-4.98E+00
3.92E+06,5.05E+01,3.66E+00,5.07E+01,4.14E+00,1.97E-02,-1.42E-03,1.97E-02,-4.14E+00
3.49E+06,5.08E+01,3.07E+00,5.09E+01,3.45E+00,1.96E-02,-1.18E-03,1.96E-02,-3.45E+00
3.11E+06,5.11E+01,2.41E+00,5.11E+01,2.70E+00,1.95E-02,-9.22E-04,1.96E-02,-2.70E+00
2.77E+06,5.13E+01,1.99E+00,5.13E+01,2.23E+00,1.95E-02,-7.57E-04,1.95E-02,-2.23E+00
2.47E+06,5.15E+01,1.42E+00,5.15E+01,1.58E+00,1.94E-02,-5.34E-04,1.94E-02,-1.58E+00
2.20E+06,5.16E+01,9.56E-01,5.16E+01,1.06E+00,1.94E-02,-3.59E-04,1.94E-02,-1.06E+00
1.96E+06,5.18E+01,5.82E-01,5.18E+01,6.45E-01,1.93E-02,-2.17E-04,1.93E-02,-6.45E-01
1.74E+06,5.21E+01,2.38E-01,5.21E+01,2.62E-01,1.92E-02,-8.79E-05,1.92E-02,-2.62E-01
1.55E+06,5.23E+01,1.18E-01,5.23E+01,-1.30E-01,1.91E-02,4.32E-05,1.91E-02,1.30E-01
1.38E+06,5.25E+01,4.36E-01,5.25E+01,-4.76E-01,1.91E-02,1.58E-04,1.91E-02,4.76E-01
1.23E+06,5.27E+01,7.22E-01,5.27E+01,-7.85E-01,1.90E-02,2.60E-04,1.90E-02,7.85E-01
1.10E+06,5.29E+01,9.21E-01,5.29E+01,-9.99E-01,1.89E-02,3.30E-04,1.89E-02,9.99E-01
9.76E+05,5.31E+01,1.17E+00,5.31E+01,-1.27E+00,1.88E-02,4.16E-04,1.88E-02,1.27E+00
8.69E+05,5.32E+01,1.43E+00,5.33E+01,-1.54E+00,1.88E-02,5.05E-04,1.88E-02,1.54E+00
7.74E+05,5.35E+01,1.55E+00,5.35E+01,-1.66E+00,1.87E-02,5.42E-04,1.87E-02,1.66E+00
6.89E+05,5.37E+01,1.75E+00,5.37E+01,-1.87E+00,1.86E-02,6.07E-04,1.86E-02,1.87E+00
6.14E+05,5.40E+01,1.93E+00,5.40E+01,-2.05E+00,1.85E-02,6.63E-04,1.85E-02,2.05E+00
5.47E+05,5.42E+01,2.04E+00,5.42E+01,-2.16E+00,1.84E-02,6.95E-04,1.84E-02,2.16E+00
4.87E+05,5.44E+01,2.16E+00,5.45E+01,-2.27E+00,1.83E-02,7.28E-04,1.84E-02,2.27E+00
4.34E+05,5.46E+01,2.19E+00,5.47E+01,-2.30E+00,1.83E-02,7.33E-04,1.83E-02,2.30E+00
3.86E+05,5.49E+01,2.32E+00,5.50E+01,-2.41E+00,1.82E-02,7.66E-04,1.82E-02,2.41E+00
