Freq,Real,Imag,|Z|/Ohm,Phase(Z)/deg,Re(Y)/Ohm-1,Im(Y)/Ohm-1,|Y|/Ohm-1,Phase(Y)/deg
2.69E+04,6.76E+01,4.30E+00,6.77E+01,-3.64E+00,1.47E-02,9.37E-04,1.48E-02,3.64E+00
2.39E+04,6.79E+01,4.48E+00,6.80E+01,-3.77E+00,1.47E-02,9.67E-04,1.47E-02,3.77E+00
2.13E+04,6.81E+01,4.63E+00,6.83E+01,-3.89E+00,1.46E-02,9.94E-04,1.46E-02,3.89E+00
1.90E+04,6.84E+01,4.81E+00,6.86E+01,-4.03E+00,1.46E-02,1.02E-03,1.46E-02,4.03E+00
1.69E+04,6.87E+01,4.97E+00,6.89E+01,-4.13E+00,1.45E-02,1.05E-03,1.45E-02,4.13E+00
1.50E+04,6.91E+01,5.18E+00,6.93E+01,-4.29E+00,1.44E-02,1.08E-03,1.44E-02,4.29E+00
1.34E+04,6.94E+01,5.41E+00,6.96E+01,-4.46E+00,1.43E-02,1.12E-03,1.44E-02,4.46E+00
1.19E+04,6.97E+01,5.59E+00,6.99E+01,-4.59E+00,1.43E-02,1.14E-03,1.43E-02,4.59E+00
1.06E+04,7.00E+01,5.88E+00,7.02E+01,-4.80E+00,1.42E-02,1.19E-03,1.42E-02,4.80E+00
9.48E+03,7.04E+01,6.19E+00,7.06E+01,-5.03E+00,1.41E-02,1.24E-03,1.42E-02,5.03E+00
8.50E+03,7.07E+01,6.45E+00,7.10E+01,-5.21E+00,1.40E-02,1.28E-03,1.41E-02,5.21E+00
7.67E+03,7.11E+01,6.74E+00,7.14E+01,-5.41E+00,1.39E-02,1.32E-03,1.40E-02,5.41E+00
6.83E+03,7.15E+01,7.03E+00,7.18E+01,-5.62E+00,1.39E-02,1.36E-03,1.39E-02,5.62E+00
6.08E+03,7.19E+01,7.39E+00,7.23E+01,-5.86E+00,1.38E-02,1.41E-03,1.38E-02,5.86E+00
5.42E+03,7.24E+01,7.78E+00,7.28E+01,-6.14E+00,1.37E-02,1.47E-03,1.37E-02,6.14E+00
4.72E+03,7.29E+01,8.26E+00,7.34E+01,-6.47E+00,1.35E-02,1.54E-03,1.36E-02,6.47E+00
4.21E+03,7.35E+01,8.67E+00,7.40E+01,-6.73E+00,1.34E-02,1.58E-03,1.35E-02,6.73E+00
3.75E+03,7.40E+01,9.11E+00,7.45E+01,-7.02E+00,1.33E-02,1.64E-03,1.34E-02,7.02E+00
3.34E+03,7.45E+01,9.65E+00,7.51E+01,-7.38E+00,1.32E-02,1.71E-03,1.33E-02,7.38E+00
2.97E+03,7.51E+01,1.02E+01,7.58E+01,-7.71E+00,1.31E-02,1.77E-03,1.32E-02,7.71E+00
2.65E+03,7.57E+01,1.07E+01,7.65E+01,-8.04E+00,1.30E-02,1.83E-03,1.31E-02,8.04E+00
2.36E+03,7.64E+01,1.13E+01,7.72E+01,-8.42E+00,1.28E-02,1.90E-03,1.30E-02,8.42E+00
2.10E+03,7.71E+01,1.19E+01,7.80E+01,-8.77E+00,1.27E-02,1.96E-03,1.28E-02,8.77E+00
1.87E+03,7.78E+01,1.26E+01,7.88E+01,-9.19E+00,1.25E-02,2.03E-03,1.27E-02,9.19E+00
1.66E+03,7.86E+01,1.33E+01,7.97E+01,-9.59E+00,1.24E-02,2.09E-03,1.26E-02,9.59E+00
1.48E+03,7.94E+01,1.41E+01,8.06E+01,-1.01E+01,1.22E-02,2.17E-03,1.24E-02,1.01E+01
1.32E+03,8.02E+01,1.48E+01,8.16E+01,-1.05E+01,1.21E-02,2.23E-03,1.23E-02,1.05E+01
1.18E+03,8.12E+01,1.56E+01,8.27E+01,-1.09E+01,1.19E-02,2.29E-03,1.21E-02,1.09E+01
1.05E+03,8.22E+01,1.65E+01,8.38E+01,-1.14E+01,1.17E-02,2.35E-03,1.19E-02,1.14E+01
9.32E+02,8.33E+01,1.74E+01,8.51E+01,-1.18E+01,1.15E-02,2.41E-03,1.18E-02,1.18E+01
8.30E+02,8.44E+01,1.84E+01,8.64E+01,-1.23E+01,1.13E-02,2.46E-03,1.16E-02,1.23E+01
7.39E+02,8.56E+01,1.94E+01,8.78E+01,-1.28E+01,1.11E-02,2.52E-03,1.14E-02,1.28E+01
6.59E+02,8.70E+01,2.05E+01,8.93E+01,-1.33E+01,1.09E-02,2.57E-03,1.12E-02,1.33E+01
5.86E+02,8.83E+01,2.16E+01,9.09E+01,-1.37E+01,1.07E-02,2.61E-03,1.10E-02,1.37E+01
5.22E+02,8.98E+01,2.28E+01,9.27E+01,-1.42E+01,1.05E-02,2.66E-03,1.08E-02,1.42E+01
4.65E+02,9.14E+01,2.40E+01,9.45E+01,-1.47E+01,1.02E-02,2.68E-03,1.06E-02,1.47E+01
4.14E+02,9.31E+01,2.52E+01,9.64E+01,-1.51E+01,1.00E-02,2.71E-03,1.04E-02,1.51E+01
3.69E+02,9.48E+01,2.65E+01,9.85E+01,-1.56E+01,9.78E-03,2.73E-03,1.02E-02,1.56E+01
3.29E+02,9.67E+01,2.78E+01,1.01E+02,-1.60E+01,9.55E-03,2.74E-03,9.94E-03,1.60E+01
2.93E+02,9.88E+01,2.90E+01,1.03E+02,-1.64E+01,9.32E-03,2.74E-03,9.71E-03,1.64E+01
2.61E+02,1.01E+02,3.04E+01,1.05E+02,-1.68E+01,9.08E-03,2.74E-03,9.48E-03,1.68E+01
2.32E+02,1.03E+02,3.18E+01,1.08E+02,-1.71E+01,8.85E-03,2.73E-03,9.26E-03,1.71E+01
2.07E+02,1.06E+02,3.33E+01,1.11E+02,-1.75E+01,8.62E-03,2.72E-03,9.03E-03,1.75E+01
1.84E+02,1.08E+02,3.46E+01,1.13E+02,-1.77E+01,8.40E-03,2.69E-03,8.81E-03,1.77E+01
1.64E+02,1.11E+02,3.59E+01,1.17E+02,-1.79E+01,8.17E-03,2.64E-03,8.58E-03,1.79E+01
1.46E+02,1.14E+02,3.72E+01,1.20E+02,-1.81E+01,7.95E-03,2.60E-03,8.36E-03,1.81E+01
1.30E+02,1.17E+02,3.84E+01,1.23E+02,-1.82E+01,7.73E-03,2.54E-03,8.14E-03,1.82E+01
1.16E+02,1.20E+02,3.97E+01,1.26E+02,-1.83E+01,7.53E-03,2.49E-03,7.93E-03,1.83E+01
1.03E+02,1.23E+02,4.08E+01,1.29E+02,-1.84E+01,7.33E-03,2.43E-03,7.73E-03,1.84E+01
9.18E+01,1.26E+02,4.20E+01,1.33E+02,-1.84E+01,7.14E-03,2.38E-03,7.52E-03,1.84E+01
8.18E+01,1.30E+02,4.28E+01,1.37E+02,-1.83E+01,6.95E-03,2.30E-03,7.32E-03,1.83E+01
7.28E+01,1.33E+02,4.37E+01,1.40E+02,-1.82E+01,6.79E-03,2.23E-03,7.14E-03,1.82E+01
6.49E+01,1.36E+02,4.47E+01,1.43E+02,-1.82E+01,6.62E-03,2.18E-03,6.97E-03,1.82E+01
5.78E+01,1.40E+02,4.54E+01,1.47E+02,-1.80E+01,6.47E-03,2.10E-03,6.81E-03,1.80E+01
5.14E+01,1.43E+02,4.62E+01,1.51E+02,-1.79E+01,6.32E-03,2.04E-03,6.64E-03,1.79E+01
4.58E+01,1.46E+02,4.70E+01,1.54E+02,-1.78E+01,6.19E-03,1.99E-03,6.50E-03,1.78E+01
4.08E+01,1.50E+02,4.77E+01,1.57E+02,-1.76E+01,6.06E-03,1.93E-03,6.36E-03,1.76E+01
3.63E+01,1.53E+02,4.85E+01,1.61E+02,-1.76E+01,5.93E-03,1.88E-03,6.22E-03,1.76E+01
3.23E+01,1.57E+02,4.91E+01,1.64E+02,-1.74E+01,5.81E-03,1.82E-03,6.09E-03,1.74E+01
2.88E+01,1.60E+02,5.00E+01,1.67E+02,-1.74E+01,5.71E-03,1.79E-03,5.98E-03,1.74E+01
2.57E+01,1.63E+02,5.10E+01,1.71E+02,-1.74E+01,5.59E-03,1.75E-03,5.85E-03,1.74E+01
2.28E+01,1.66E+02,5.20E+01,1.74E+02,-1.74E+01,5.48E-03,1.71E-03,5.74E-03,1.74E+01
2.04E+01,1.70E+02,5.32E+01,1.78E+02,-1.74E+01,5.37E-03,1.68E-03,5.63E-03,1.74E+01
1.81E+01,1.73E+02,5.46E+01,1.81E+02,-1.75E+01,5.26E-03,1.66E-03,5.52E-03,1.75E+01
1.61E+01,1.76E+02,5.59E+01,1.85E+02,-1.76E+01,5.15E-03,1.63E-03,5.41E-03,1.76E+01
1.44E+01,1.80E+02,5.77E+01,1.89E+02,-1.78E+01,5.05E-03,1.62E-03,5.30E-03,1.78E+01
1.28E+01,1.83E+02,5.96E+01,1.92E+02,-1.80E+01,4.94E-03,1.61E-03,5.20E-03,1.80E+01
1.14E+01,1.87E+02,6.15E+01,1.96E+02,-1.82E+01,4.84E-03,1.59E-03,5.09E-03,1.82E+01
1.02E+01,1.90E+02,6.39E+01,2.01E+02,-1.86E+01,4.72E-03,1.59E-03,4.98E-03,1.86E+01
9.04E+00,1.94E+02,6.65E+01,2.05E+02,-1.89E+01,4.62E-03,1.58E-03,4.88E-03,1.89E+01
8.05E+00,1.98E+02,6.90E+01,2.09E+02,-1.92E+01,4.51E-03,1.57E-03,4.77E-03,1.92E+01
7.17E+00,2.02E+02,7.22E+01,2.14E+02,-1.97E+01,4.40E-03,1.57E-03,4.67E-03,1.97E+01
6.39E+00,2.06E+02,7.55E+01,2.19E+02,-2.02E+01,4.29E-03,1.57E-03,4.57E-03,2.02E+01
5.69E+00,2.10E+02,7.89E+01,2.24E+02,-2.06E+01,4.17E-03,1.57E-03,4.46E-03,2.06E+01
5.07E+00,2.14E+02,8.30E+01,2.30E+02,-2.11E+01,4.06E-03,1.57E-03,4.35E-03,2.11E+01
4.51E+00,2.19E+02,8.71E+01,2.36E+02,-2.17E+01,3.94E-03,1.57E-03,4.24E-03,2.17E+01
4.02E+00,2.24E+02,9.18E+01,2.42E+02,-2.23E+01,3.83E-03,1.57E-03,4.14E-03,2.23E+01
3.58E+00,2.29E+02,9.65E+01,2.48E+02,-2.29E+01,3.71E-03,1.57E-03,4.03E-03,2.29E+01
3.19E+00,2.34E+02,1.02E+02,2.55E+02,-2.36E+01,3.59E-03,1.57E-03,3.92E-03,2.36E+01
2.84E+00,2.40E+02,1.08E+02,2.63E+02,-2.42E+01,3.47E-03,1.56E-03,3.80E-03,2.42E+01
2.53E+00,2.45E+02,1.14E+02,2.71E+02,-2.49E+01,3.35E-03,1.56E-03,3.70E-03,2.49E+01
2.25E+00,2.52E+02,1.21E+02,2.79E+02,-2.56E+01,3.23E-03,1.55E-03,3.58E-03,2.56E+01
2.00E+00,2.58E+02,1.28E+02,2.88E+02,-2.64E+01,3.11E-03,1.54E-03,3.47E-03,2.64E+01
1.79E+00,2.65E+02,1.36E+02,2.98E+02,-2.72E+01,2.99E-03,1.53E-03,3.36E-03,2.72E+01
1.59E+00,2.72E+02,1.44E+02,3.08E+02,-2.80E+01,2.87E-03,1.52E-03,3.25E-03,2.80E+01
1.42E+00,2.79E+02,1.53E+02,3.19E+02,-2.87E+01,2.75E-03,1.51E-03,3.14E-03,2.87E+01
1.26E+00,2.87E+02,1.63E+02,3.30E+02,-2.96E+01,2.63E-03,1.49E-03,3.03E-03,2.96E+01
1.12E+00,2.96E+02,1.74E+02,3.43E+02,-3.05E+01,2.51E-03,1.48E-03,2.91E-03,3.05E+01
1.00E+00,3.05E+02,1.85E+02,3.57E+02,-3.13E+01,2.40E-03,1.45E-03,2.80E-03,3.13E+01
