Freq,Real,Imag,|Z|/Ohm,Phase(Z)/deg,Re(Y)/Ohm-1,Im(Y)/Ohm-1,|Y|/Ohm-1,Phase(Y)/deg
2.69E+04,6.32E+01,3.87E+00,6.33E+01,-3.51E+00,1.58E-02,9.67E-04,1.58E-02,3.51E+00
2.39E+04,6.34E+01,4.05E+00,6.35E+01,-3.65E+00,1.57E-02,1.00E-03,1.57E-02,3.65E+00
2.13E+04,6.37E+01,4.16E+00,6.38E+01,-3.74E+00,1.56E-02,1.02E-03,1.57E-02,3.74E+00
1.90E+04,6.39E+01,4.31E+00,6.41E+01,-3.86E+00,1.56E-02,1.05E-03,1.56E-02,3.86E+00
1.69E+04,6.42E+01,4.40E+00,6.43E+01,-3.92E+00,1.55E-02,1.06E-03,1.56E-02,3.92E+00
1.50E+04,6.44E+01,4.64E+00,6.45E+01,-4.13E+00,1.55E-02,1.12E-03,1.55E-02,4.13E+00
1.34E+04,6.47E+01,4.86E+00,6.49E+01,-4.30E+00,1.54E-02,1.16E-03,1.54E-02,4.30E+00
1.19E+04,6.50E+01,5.11E+00,6.52E+01,-4.49E+00,1.53E-02,1.20E-03,1.53E-02,4.49E+00
1.06E+04,6.53E+01,5.30E+00,6.55E+01,-4.64E+00,1.52E-02,1.24E-03,1.53E-02,4.64E+00
9.48E+03,6.56E+01,5.55E+00,6.58E+01,-4.83E+00,1.51E-02,1.28E-03,1.52E-02,4.83E+00
8.50E+03,6.59E+01,5.84E+00,6.62E+01,-5.06E+00,1.50E-02,1.33E-03,1.51E-02,5.06E+00
7.67E+03,6.62E+01,6.06E+00,6.65E+01,-5.23E+00,1.50E-02,1.37E-03,1.50E-02,5.23E+00
6.83E+03,6.66E+01,6.36E+00,6.69E+01,-5.46E+00,1.49E-02,1.42E-03,1.50E-02,5.46E+00
6.08E+03,6.70E+01,6.66E+00,6.73E+01,-5.68E+00,1.48E-02,1.47E-03,1.49E-02,5.68E+00
5.42E+03,6.73E+01,7.02E+00,6.77E+01,-5.96E+00,1.47E-02,1.53E-03,1.48E-02,5.96E+00
4.72E+03,6.78E+01,7.45E+00,6.83E+01,-6.27E+00,1.46E-02,1.60E-03,1.47E-02,6.27E+00
4.21E+03,6.83E+01,7.84E+00,6.87E+01,-6.55E+00,1.45E-02,1.66E-03,1.46E-02,6.55E+00
3.75E+03,6.87E+01,8.31E+00,6.92E+01,-6.90E+00,1.44E-02,1.74E-03,1.45E-02,6.90E+00
3.34E+03,6.92E+01,8.76E+00,6.97E+01,-7.22E+00,1.42E-02,1.80E-03,1.43E-02,7.22E+00
2.97E+03,6.97E+01,9.20E+00,7.03E+01,-7.52E+00,1.41E-02,1.86E-03,1.42E-02,7.52E+00
2.65E+03,7.03E+01,9.81E+00,7.10E+01,-7.95E+00,1.39E-02,1.95E-03,1.41E-02,7.95E+00
2.36E+03,7.08E+01,1.03E+01,7.16E+01,-8.31E+00,1.38E-02,2.02E-03,1.40E-02,8.31E+00
2.10E+03,7.15E+01,1.10E+01,7.23E+01,-8.74E+00,1.37E-02,2.10E-03,1.38E-02,8.74E+00
1.87E+03,7.21E+01,1.17E+01,7.30E+01,-9.21E+00,1.35E-02,2.19E-03,1.37E-02,9.21E+00
1.66E+03,7.28E+01,1.24E+01,7.39E+01,-9.64E+00,1.33E-02,2.27E-03,1.35E-02,9.64E+00
1.48E+03,7.36E+01,1.31E+01,7.47E+01,-1.01E+01,1.32E-02,2.35E-03,1.34E-02,1.01E+01
1.32E+03,7.44E+01,1.38E+01,7.57E+01,-1.05E+01,1.30E-02,2.41E-03,1.32E-02,1.05E+01
1.18E+03,7.52E+01,1.46E+01,7.66E+01,-1.10E+01,1.28E-02,2.49E-03,1.31E-02,1.10E+01
1.05E+03,7.62E+01,1.55E+01,7.77E+01,-1.15E+01,1.26E-02,2.56E-03,1.29E-02,1.15E+01
9.32E+02,7.71E+01,1.64E+01,7.89E+01,-1.20E+01,1.24E-02,2.64E-03,1.27E-02,1.20E+01
8.30E+02,7.82E+01,1.74E+01,8.01E+01,-1.25E+01,1.22E-02,2.71E-03,1.25E-02,1.25E+01
7.39E+02,7.93E+01,1.84E+01,8.14E+01,-1.31E+01,1.20E-02,2.78E-03,1.23E-02,1.31E+01
6.59E+02,8.05E+01,1.95E+01,8.28E+01,-1.36E+01,1.17E-02,2.84E-03,1.21E-02,1.36E+01
5.86E+02,8.18E+01,2.06E+01,8.43E+01,-1.42E+01,1.15E-02,2.90E-03,1.19E-02,1.42E+01
5.22E+02,8.32E+01,2.17E+01,8.60E+01,-1.46E+01,1.12E-02,2.94E-03,1.16E-02,1.46E+01
4.65E+02,8.47E+01,2.29E+01,8.78E+01,-1.51E+01,1.10E-02,2.97E-03,1.14E-02,1.51E+01
4.14E+02,8.64E+01,2.42E+01,8.97E+01,-1.56E+01,1.07E-02,3.01E-03,1.11E-02,1.56E+01
3.69E+02,8.81E+01,2.54E+01,9.17E+01,-1.61E+01,1.05E-02,3.02E-03,1.09E-02,1.61E+01
3.29E+02,8.99E+01,2.67E+01,9.38E+01,-1.66E+01,1.02E-02,3.04E-03,1.07E-02,1.66E+01
2.93E+02,9.20E+01,2.79E+01,9.62E+01,-1.69E+01,9.95E-03,3.02E-03,1.04E-02,1.69E+01
2.61E+02,9.42E+01,2.94E+01,9.87E+01,-1.73E+01,9.68E-03,3.02E-03,1.01E-02,1.73E+01
2.32E+02,9.65E+01,3.06E+01,1.01E+02,-1.76E+01,9.42E-03,2.99E-03,9.88E-03,1.76E+01
2.07E+02,9.89E+01,3.19E+01,1.04E+02,-1.79E+01,9.16E-03,2.95E-03,9.62E-03,1.79E+01
1.84E+02,1.01E+02,3.31E+01,1.07E+02,-1.81E+01,8.92E-03,2.91E-03,9.38E-03,1.81E+01
1.64E+02,1.04E+02,3.42E+01,1.10E+02,-1.82E+01,8.67E-03,2.85E-03,9.13E-03,1.82E+01
1.46E+02,1.07E+02,3.53E+01,1.13E+02,-1.83E+01,8.43E-03,2.78E-03,8.88E-03,1.83E+01
1.30E+02,1.10E+02,3.62E+01,1.16E+02,-1.82E+01,8.21E-03,2.71E-03,8.64E-03,1.82E+01
1.16E+02,1.13E+02,3.72E+01,1.19E+02,-1.82E+01,7.99E-03,2.63E-03,8.42E-03,1.82E+01
1.03E+02,1.16E+02,3.80E+01,1.22E+02,-1.82E+01,7.79E-03,2.56E-03,8.20E-03,1.82E+01
9.18E+01,1.19E+02,3.86E+01,1.25E+02,-1.79E+01,7.60E-03,2.46E-03,7.99E-03,1.79E+01
8.18E+01,1.22E+02,3.94E+01,1.28E+02,-1.79E+01,7.41E-03,2.39E-03,7.79E-03,1.79E+01
7.28E+01,1.25E+02,3.98E+01,1.31E+02,-1.76E+01,7.25E-03,2.31E-03,7.61E-03,1.76E+01
6.49E+01,1.28E+02,4.04E+01,1.35E+02,-1.74E+01,7.08E-03,2.23E-03,7.43E-03,1.74E+01
5.78E+01,1.32E+02,4.08E+01,1.38E+02,-1.72E+01,6.94E-03,2.15E-03,7.26E-03,1.72E+01
5.14E+01,1.35E+02,4.13E+01,1.41E+02,-1.70E+01,6.79E-03,2.08E-03,7.10E-03,1.70E+01
4.58E+01,1.38E+02,4.15E+01,1.44E+02,-1.68E+01,6.65E-03,2.01E-03,6.95E-03,1.68E+01
4.08E+01,1.41E+02,4.22E+01,1.47E+02,-1.67E+01,6.53E-03,1.96E-03,6.82E-03,1.67E+01
3.63E+01,1.43E+02,4.25E+01,1.50E+02,-1.65E+01,6.41E-03,1.90E-03,6.68E-03,1.65E+01
3.23E+01,1.46E+02,4.29E+01,1.53E+02,-1.63E+01,6.29E-03,1.84E-03,6.55E-03,1.63E+01
2.88E+01,1.49E+02,4.34E+01,1.56E+02,-1.62E+01,6.17E-03,1.79E-03,6.43E-03,1.62E+01
2.57E+01,1.52E+02,4.42E+01,1.58E+02,-1.62E+01,6.06E-03,1.76E-03,6.31E-03,1.62E+01
2.28E+01,1.55E+02,4.50E+01,1.62E+02,-1.62E+01,5.94E-03,1.72E-03,6.19E-03,1.62E+01
2.04E+01,1.58E+02,4.59E+01,1.64E+02,-1.62E+01,5.84E-03,1.70E-03,6.08E-03,1.62E+01
1.81E+01,1.61E+02,4.68E+01,1.68E+02,-1.62E+01,5.73E-03,1.67E-03,5.96E-03,1.62E+01
1.61E+01,1.64E+02,4.80E+01,1.71E+02,-1.63E+01,5.63E-03,1.65E-03,5.86E-03,1.63E+01
1.44E+01,1.67E+02,4.93E+01,1.74E+02,-1.65E+01,5.52E-03,1.63E-03,5.75E-03,1.65E+01
1.28E+01,1.70E+02,5.07E+01,1.77E+02,-1.66E+01,5.41E-03,1.62E-03,5.64E-03,1.66E+01
1.14E+01,1.73E+02,5.21E+01,1.81E+02,-1.68E+01,5.30E-03,1.60E-03,5.54E-03,1.68E+01
1.02E+01,1.76E+02,5.40E+01,1.84E+02,-1.70E+01,5.19E-03,1.59E-03,5.43E-03,1.70E+01
9.04E+00,1.80E+02,5.60E+01,1.88E+02,-1.73E+01,5.07E-03,1.58E-03,5.32E-03,1.73E+01
8.05E+00,1.83E+02,5.80E+01,1.92E+02,-1.76E+01,4.97E-03,1.57E-03,5.21E-03,1.76E+01
7.17E+00,1.86E+02,6.04E+01,1.96E+02,-1.79E+01,4.85E-03,1.57E-03,5.10E-03,1.79E+01
6.39E+00,1.90E+02,6.28E+01,2.00E+02,-1.83E+01,4.74E-03,1.56E-03,4.99E-03,1.83E+01
5.69E+00,1.94E+02,6.50E+01,2.05E+02,-1.85E+01,4.63E-03,1.55E-03,4.89E-03,1.85E+01
5.07E+00,1.98E+02,6.79E+01,2.10E+02,-1.89E+01,4.51E-03,1.55E-03,4.77E-03,1.89E+01
4.51E+00,2.03E+02,7.10E+01,2.15E+02,-1.93E+01,4.40E-03,1.54E-03,4.66E-03,1.93E+01
4.02E+00,2.07E+02,7.43E+01,2.20E+02,-1.97E+01,4.28E-03,1.54E-03,4.55E-03,1.97E+01
3.58E+00,2.12E+02,7.76E+01,2.26E+02,-2.01E+01,4.16E-03,1.53E-03,4.43E-03,2.01E+01
3.19E+00,2.17E+02,8.13E+01,2.31E+02,-2.06E+01,4.05E-03,1.52E-03,4.32E-03,2.06E+01
2.84E+00,2.22E+02,8.50E+01,2.38E+02,-2.09E+01,3.93E-03,1.50E-03,4.20E-03,2.09E+01
2.53E+00,2.27E+02,8.88E+01,2.44E+02,-2.13E+01,3.82E-03,1.49E-03,4.10E-03,2.13E+01
2.25E+00,2.34E+02,9.31E+01,2.51E+02,-2.17E+01,3.69E-03,1.47E-03,3.98E-03,2.17E+01
2.00E+00,2.40E+02,9.77E+01,2.59E+02,-2.22E+01,3.58E-03,1.46E-03,3.87E-03,2.22E+01
1.79E+00,2.46E+02,1.02E+02,2.66E+02,-2.26E+01,3.47E-03,1.44E-03,3.76E-03,2.26E+01
1.59E+00,2.53E+02,1.07E+02,2.75E+02,-2.30E+01,3.35E-03,1.42E-03,3.64E-03,2.30E+01
1.42E+00,2.60E+02,1.12E+02,2.83E+02,-2.33E+01,3.24E-03,1.40E-03,3.53E-03,2.33E+01
1.26E+00,2.67E+02,1.17E+02,2.92E+02,-2.37E+01,3.14E-03,1.38E-03,3.42E-03,2.37E+01
1.12E+00,2.76E+02,1.23E+02,3.02E+02,-2.40E+01,3.03E-03,1.35E-03,3.31E-03,2.40E+01
1.00E+00,2.84E+02,1.28E+02,3.12E+02,-2.43E+01,2.92E-03,1.32E-03,3.21E-03,2.43E+01
